preference_key,movie_title,star_cast,rating,year,place,vote,link
2,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.567011123558919,1997,25,,/title/tt0118799/
3,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.561898954122254,2014,26,,/title/tt0816692/
4,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.561379213050115,1999,27,,/title/tt0120689/
1,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.551271750473626,1977,28,,/title/tt0076759/
2,Terminator 2: Juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.53576848915604,1991,29,,/title/tt0103064/
3,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517422726137202,1985,30,,/title/tt0088763/
4,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515919660954939,2001,31,,/title/tt0245429/
1,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508024851449717,1960,32,,/title/tt0054215/
2,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.50605083074741,2002,33,,/title/tt0253474/
3,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.497392380978152,1994,34,,/title/tt0110413/
4,Parásitos,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.497348800862058,2019,35,,/title/tt6751668/
1,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.48817167835688,1994,36,,/title/tt0110357/
2,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.485936535290378,2000,37,,/title/tt0172495/
3,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.48342277929892,1998,38,,/title/tt0120586/
4,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.47537923879439,2006,39,,/title/tt0407887/
1,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.473583143889579,1995,40,,/title/tt0114814/
2,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.468607069204461,2006,41,,/title/tt0482571/
3,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.463979879059226,1942,42,,/title/tt0034583/
4,Whiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.46358343824566,2014,43,,/title/tt2582802/
1,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.454037490708709,2011,44,,/title/tt1675434/
2,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.45243492953628,1962,45,,/title/tt0056058/
3,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.451885097931273,1988,46,,/title/tt0095327/
4,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.448914748994866,1936,47,,/title/tt0027977/
1,Érase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.446002673456741,1968,48,,/title/tt0064116/
2,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.436713874116649,1954,49,,/title/tt0047396/
3,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.434288231966374,1931,50,,/title/tt0021749/
4,"Alien, el octavo pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.434150899890502,1979,51,,/title/tt0078748/
1,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.431871083809332,1988,52,,/title/tt0095765/
2,Apocalipsis ahora,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.424580294898153,1979,53,,/title/tt0078788/
3,Amnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.423483282434793,2000,54,,/title/tt0209144/
